Empresa,Objetos
P.R. PARTS AND COMPONENTS GMBH,"['27', '32', '35', '39', '40', '44', '45', '56', '58', '62', '63', '64', '68', '72', '73', '74', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '89', '90', '91', '94', '95', '27', '32', '35', '39', '40', '44', '45', '56', '58', '62', '63', '64', '68', '72', '73', '74', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '89', '90', '91', '94', '95']"
"VITOL ENERGY (BERMUDA), LTD.","['17', '27', '17', '27']"
"REPRESENTACIONES PLATINO, S.A. / BIOAMAZONAS INDUSTRIA E COMERCIO DE MEDICAMENTOS FITOTERAPICOS LTDA.","['4', '9', '10', '15', '16', '17', '18', '19', '20', '21', '22', '23', '28', '29', '30', '31', '33', '34', '35', '38', '39', '40', '85', '86', '87', '90', '91', '94', '96']"
DELATRADE HANDELSGESELLSCHAFT MBH,"['2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '48', '55', '70', '72', '73', '74', '75', '76', '78', '79', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '48', '55', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '90', '94', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '48', '55', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '90', '94']"
COMINVESTMENT AG,"['4', '8', '10', '11', '15', '18', '26', '27', '28', '29', '32', '38', '39', '40', '44', '48', '52', '54', '55', '59', '70', '72', '73', '74', '76', '82', '83', '84', '85', '86', '87', '88', '89', '90', '94', '96']"
"ANACO, B.V.","['8', '22', '29', '32', '38', '39', '40', '44', '68', '70', '72', '73', '79', '83', '84', '85', '87', '94']"
"TECNOLOGÍA E INNOVACIÓN PARA LA CONSTRUCCIÓN Y DECORACIÓN, S.A.","['2', '3', '4', '10', '11', '15', '16', '18', '19', '21', '22', '39', '40', '42', '44', '45', '48', '49', '55', '56', '57', '59', '63', '68', '69', '70', '72', '73', '74', '76', '78', '79', '80', '82', '83', '84', '85', '87', '90', '93', '94', '96', '97', '2', '3', '4', '10', '11', '15', '16', '18', '19', '21', '22', '39', '40', '42', '44', '45', '48', '49', '55', '56', '57', '59', '63', '68', '69', '70', '72', '73', '74', '76', '78', '79', '80', '82', '83', '84', '85', '87', '90', '94', '96', '97']"
"TECNILLON, S.A.","['32', '38', '39', '40', '44', '48', '49', '57', '59', '61', '63', '66', '68', '69', '70', '72', '73', '76', '82', '83', '84', '85', '90', '94', '96', '32', '38', '39', '40', '44', '48', '49', '59', '61', '63', '66', '68', '69', '70', '72', '73', '76', '82', '83', '84', '85', '90', '94', '96']"
THAI BINH INVESTMENT TRADING CORPORATION,"['3', '4', '6', '7', '8', '9', '10', '12', '15', '16', '17', '18', '19', '21', '22', '25', '30', '32', '33', '34', '39', '40', '42', '43', '44', '46', '48', '49', '50', '52', '54', '55', '56', '60', '61', '62', '63', '64', '65', '67', '69', '70', '71', '73', '76', '82', '83', '84', '85', '87', '89', '91', '94', '95', '96', '97', '3', '4', '6', '7', '8', '9', '10', '12', '15', '16', '17', '18', '19', '21', '22', '25', '30', '32', '33', '34', '39', '40', '42', '43', '44', '46', '48', '49', '50', '52', '54', '55', '56', '60', '61', '62', '63', '64', '65', '69', '70', '71', '73', '76', '82', '83', '84', '85', '87', '89', '91', '94', '95', '96', '97']"
"EPROMEXT, S.L.","['35', '38', '39', '40', '43', '44', '48', '55', '56', '57', '58', '59', '63', '68', '69', '72', '73', '74', '76', '82', '83', '84', '85', '87', '90', '93', '94', '35', '38', '39', '40', '43', '44', '48', '55', '56', '57', '58', '59', '63', '68', '69', '72', '73', '74', '76', '82', '83', '84', '85', '87', '90', '93', '94']"
ERICSSON AB,['85']
"COMARGO COMPOSITES, S.L.","['15', '25', '27', '28', '29', '32', '34', '35', '38', '39', '40', '54', '68', '70', '82', '84', '96', '15', '25', '27', '28', '29', '32', '34', '35', '38', '39', '40', '54', '68', '70', '82', '84', '96']"
510172 ONTARIO LIMITED,"['27', '27']"
510173 ONTARIO LIMITED,"['34', '34']"
510174 ONTARIO LIMITED,"['40', '40']"
510175 ONTARIO LIMITED,"['82', '82']"
510176 ONTARIO LIMITED,"['84', '84']"
510177 ONTARIO LIMITED,"['85', '85']"
510178 ONTARIO LIMITED,"['86', '86']"
510179 ONTARIO LIMITED,"['87', '87']"
BAYER-HANDELSGESELLSCHAFT M.B.H.,"['17', '22', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '54', '84', '90', '94']"
PHYSIOMED ELEKTROMEDIZIN AG,"['27', '30', '34', '37', '38', '39', '40', '44', '59', '63', '70', '76', '82', '84', '85', '87', '90', '92', '94', '95', '96']"
"POSADA Y MOLINA DE TELECOMUNICACIONES, S.L. ","['25', '32', '38', '39', '40', '69', '73', '74', '83', '84', '85', '87', '90']"
"REBOCA, S.L.","['35', '38', '39', '40', '68', '69', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '90', '35', '39', '68', '69', '74', '80', '82', '83', '84', '85', '35', '39', '68', '69', '74', '80', '82', '83', '84', '85']"
VA INTERTRADING A.G. ,['72']
"ZEPOL MARIN, S.A. ","['25', '32', '38', '39', '40', '48', '68', '70', '72', '73', '76', '78', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
"CONSERVAS DE CAMBADOS, S.L. ","['3', '8', '15', '16', '21', '23']"
"ARGA CARIBE, S.L.","['32', '34', '37', '38', '39', '40', '47', '48', '49', '84', '85', '94', '96']"
"TÉCNICAS DEL MOTOR DE PAZ, S.L. ","['27', '28', '32', '34', '38', '39', '40', '42', '59', '63', '68', '70', '73', '78', '82', '83', '84', '85', '86', '87', '90', '91', '94', '96']"
EUMEDA GMBH ,"['28', '84', '85', '90', '94']"
"REVIM CARIBE, S.L. ","['25', '28', '32', '33', '34', '35', '38', '39', '42', '62', '70', '73', '76', '84', '85', '90', '94']"
"C.R. TECHNOLOGY SYSTEMS, S.P.A.","['27', '32', '34', '38', '39', '40', '44', '63', '68', '70', '71', '73', '74', '76', '82', '83', '84', '85', '86', '87', '90', '91', '94', '96', '27', '32', '34', '38', '39', '40', '63', '68', '70', '71', '73', '74', '76', '82', '83', '84', '85', '86', '87', '90', '91', '94', '96']"
"CUEX, S.A.","['28', '32', '38', '39', '40', '48', '63', '68', '69', '72', '73', '74', '76', '78', '79', '82', '83', '84', '85', '86', '87', '90', '94', '28', '32', '38', '39', '40', '48', '63', '68', '69', '72', '73', '74', '76', '78', '79', '82', '83', '84', '85', '86', '87', '90', '94', '28', '32', '38', '39', '48', '63', '68', '69', '70', '73', '74', '76', '79', '82', '83', '84', '85', '94']"
"DELAVAL INTERNATIONAL, A.B. ","['27', '33', '34', '38', '62', '64', '69', '82', '84', '85']"
CON-IMPEX HANDELSGESELLSCHAFT MBH & CO. KG ,"['2', '4', '15', '16', '19', '28', '29', '31', '32', '38', '39', '40', '44', '45', '70', '72', '73', '74', '75', '76', '78', '79', '80', '84', '85', '86', '87', '88', '89', '90']"
CASES & CASES SAU,"['2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '28', '29', '30', '31', '32', '33', '39', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '91', '96']"
"RAYTUR CARiBE, S.A.","['2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '32', '34', '39', '40', '42', '43', '44', '48', '49', '57', '61', '62', '63', '64', '69', '70', '73', '74', '76', '82', '83', '84', '85', '94', '96', '97']"
"PRODUCTOS LA CONSTANCIA, S.L.","['7', '9', '12', '21', '24', '28', '7', '9', '12', '21', '24', '28']"
"MELGASAL INVEST, S.L. ",['87']
"SIDCO INTERNATIONAL, S.A.","['76', '78', '79', '80', '81']"
"PLUZ, S.A. DE C.V.","['39', '73', '85', '94', '39', '73', '85', '94']"
"CASCO ANTIGUO COMERCIAL, S.L.","['27', '40', '42', '61', '64', '82', '83', '84', '85', '89', '90', '91', '95', '27', '40', '42', '61', '64', '82', '83', '84', '85', '89', '90', '91', '95']"
MAJESTIC DISPENSING SYSTEMS,"['2', '3', '4', '7', '8', '9', '10', '11', '15', '16', '17', '18', '19', '20', '21', '22', '25', '27', '28', '29', '33', '34', '35', '39', '40', '48', '68', '69', '70', '73', '76', '82', '84', '85', '2', '3', '4', '7', '8', '9', '10', '11', '15', '16', '17', '18', '19', '20', '21', '22', '25', '27', '28', '29', '33', '34', '35', '39', '40', '48', '68', '69', '70', '73', '76', '82', '84', '85', '18', '20', '21', '28', '29', '33', '34', '39', '40', '48', '84']"
SEABLINC BV (SRL),"['21', '22', '28', '29', '30', '32', '33', '34', '35', '38', '39', '40', '42', '43', '47', '48', '49', '57', '61', '62', '63', '64', '65', '68', '70', '73', '74', '75', '82', '83', '84', '85', '86', '87', '88', '90', '91', '96']"
"INKUG, S.L.","['13', '15', '25', '27', '28', '29', '32', '33', '34', '37', '38', '39', '40', '44', '46', '69', '70', '73', '76', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96', '97']"
"PEVISA 1983, S.L.","['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '25', '28', '31', '32', '33', '34', '38', '39', '40', '42', '43', '44', '46', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '72', '73', '74', '75', '76', '77', '78', '79', '80', '82', '83', '84', '85', '90', '91', '92', '94', '95', '96']"
FUJIAN PROVINCE OVERSEAS CHINESE INDUSTRIAL GROUP CO. (FOCIG),"['42', '64', '76', '84']"
"ADIDAS LATIN AMERICA, S.A.","['33', '34', '39', '42', '61', '62', '63', '64', '65', '66', '90', '91', '94', '95']"
"LUCIA ALTIERI, S.R.L.","['2', '3', '4', '7', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '25', '32', '33', '38', '39', '42', '43', '44', '61', '62', '64', '65', '66', '67', '71', '73', '82', '84', '85', '91', '96']"
SOCIEDAD LIMITADA FIRMA DE PRODUCCION CIENTIFICA “SPECTR”,"['4', '15', '16', '22', '28', '31', '32', '38', '39', '40', '44', '48', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '76', '82', '83', '84', '85', '86', '87', '88', '90']"
SOCIEDAD DE RESPONSABILIDAD LIMITADA INDUSTRIAL ENGINEERING,"['12', '14', '15', '26', '27', '28', '29', '32', '34', '35', '37', '38', '39', '40', '45', '48', '49', '54', '56', '59', '63', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '90', '94', '96']"
SOYEA JIURONG TECHNOLOGY CO. LTD.,"['19', '22', '39', '40', '63', '64', '70', '73', '74', '82', '83', '84', '85', '87', '92', '94']"
"HUAWEI TECHNOLOGIES PANAMÁ, S.A.","['39', '73', '82', '84', '85', '90']"
"LABORATORIOS BAGÓ, S.A.","['22', '28', '29', '30', '31', '33', '34', '35', '37', '38', '39', '40', '52', '61', '63', '70', '84', '90', '94', '22', '28', '29', '30', '31', '33', '34', '35', '37', '38', '39', '40', '52', '61', '63', '70', '84', '90', '94', '28', '29', '30', '31', '33', '34', '35', '37', '38', '39', '40', '48', '52', '61', '63', '70', '84', '90', '94', '11', '22', '28', '29', '30', '31', '33', '34', '35', '37', '38', '39', '40', '52', '61', '63', '70', '84', '90', '94']"
"SCHNEIDER ELECTRIC INDUSTRIES, S.A.S.","['85', '90']"
"ATHEL APLICACIONES Y TECNOLOGÍA, S.A.","['25', '27', '32', '39', '48', '68', '72', '73', '74', '75', '76', '80', '82', '83', '84', '85', '86', '90', '91', '94', '25', '27', '32', '39', '48', '68', '72', '73', '74', '75', '76', '80', '82', '83', '84', '85', '86', '90', '91', '94']"
"FICUBA, S.L.","['28', '32', '34', '35', '37', '38', '39', '40', '48', '50', '52', '54', '59', '61', '63', '65', '68', '72', '73', '74', '75', '76', '82', '84', '85', '87', '90', '94', '96', '28', '32', '34', '35', '37', '38', '39', '40', '48', '50', '52', '54', '59', '61', '63', '65', '72', '73', '74', '75', '76', '82', '84', '85', '87', '90', '94', '96']"
"ORTIZ ASPIZUA HERMANOS, S.L.","['39', '40', '68', '69', '72', '73', '74', '75', '76', '78', '79', '82', '83', '84', '85', '87', '90', '91', '94', '39', '40', '68', '69', '72', '73', '74', '75', '76', '78', '79', '82', '83', '84', '85', '87', '90', '91', '94']"
HITACHI HIGH-TECHNOLOGIES CORPORATION,"['22', '26', '27', '28', '29', '38', '68', '69', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '94', '22', '26', '27', '28', '29', '38', '68', '69', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '94', '22', '26', '27', '28', '29', '30', '38', '68', '69', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '94']"
"DOMINGO ALONSO INTERNACIONAL, S.L.","['27', '28', '32', '33', '34', '35', '38', '39', '40', '41', '42', '62', '63', '68', '70', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94', '96', '27', '28', '32', '33', '34', '35', '38', '39', '40', '41', '42', '62', '63', '68', '70', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
FINAUTO INTERNATIONAL LIMITED,"['2', '3', '4', '7', '8', '9', '10', '11', '13', '15', '16', '17', '18', '19', '20', '21', '22', '25', '27', '28', '32', '33', '34', '35', '37', '38', '39', '40', '42', '45', '48', '49', '57', '59', '61', '63', '65', '68', '70', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94', '96', '25', '27', '28', '32', '34', '35', '37', '38', '39', '40', '42', '45', '48', '49', '57', '59', '61', '63', '65', '68', '70', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
"TECNOLOGÍA GPS, S.A.","['41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '85', '87', '88', '89', '90', '94']"
"POSITRONICA, S.A.","['39', '40', '70', '73', '82', '83', '84', '85', '90', '94', '39', '40', '70', '73', '83', '82', '84', '85', '90', '94']"
"GRUPO AUTOMOCIÓN MUTAUTO AMÉRICA, S.L.","['34', '35', '38', '40', '68', '70', '72', '73', '74', '76', '79', '82', '84', '85', '87', '91', '94', '34', '35', '38', '40', '68', '70', '72', '73', '74', '76', '79', '82', '84', '85', '87', '91', '94']"
F.M. COEMPAR COMERCIAL LTDA.,"['32', '38', '39', '40', '42', '43', '45', '48', '55', '56', '61', '62', '63', '64', '65', '68', '70', '73', '74', '82', '84', '85', '86', '87', '90', '32', '38', '39', '40', '42', '43', '45', '48', '55', '56', '61', '62', '63', '64', '65', '68', '70', '73', '74', '82', '84', '85', '86', '87', '90']"
FUETA INTERNATIONAL CO. LTD.,"['3', '16', '22', '25', '28', '32', '39', '40', '42', '43', '61', '62', '64', '68', '69', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '87']"
"R.F. RIKO FINANCE, S.A.","['40', '42', '57', '61', '62', '63', '64', '65', '66', '69', '71', '91']"
FOREGO INTERNATIONAL LIMITED,"['38', '40', '61', '62', '63', '64', '82', '84', '85', '87', '90', '38', '40', '61', '62', '63', '64', '82', '84', '85', '87', '90']"
"INSPUR GROUP CO., LTD.","['39', '44', '48', '49', '63', '76', '83', '84', '85', '90', '94', '96']"
"EMPROMOULDS, S.A.","['39', '82', '84']"
"BOMBAS IDEAL, S.A.","['84', '85', '84', '85']"
GREAT WALL DRILLING COMPANY LTD.,"['25', '27', '28', '29', '32', '34', '38', '39', '40', '61', '62', '63', '64', '65', '68', '72', '73', '82', '83', '84', '85', '87', '90', '25', '27', '28', '29', '32', '38', '39', '40', '61', '62', '63', '64', '65', '68', '72', '73', '82', '83', '84', '85', '87', '90']"
"REPRESENTACIONES PLATINO, S.A. / ALLUSI, S.A.","['25', '27', '28', '29', '32', '34', '35', '38', '39', '40', '48', '49', '56', '59', '61', '62', '63', '68', '70', '72', '73', '74', '76', '78', '80', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
"REPRESENTACIONES PLATINO, S.A. / AUTOMA, S.R.L.","['85', '90', '94']"
"ARIZAGA, BASTARRICA Y CIA, S.A.","['32', '34', '38', '39', '40', '42', '51', '59', '72', '73', '74', '76', '78', '79', '80', '82', '83', '84', '85', '90', '32', '34', '38', '39', '40', '42', '51', '59', '72', '73', '74', '76', '78', '79', '80', '82', '83', '84', '85', '90']"
"MAXIVIDRO-TRANSFORMADORES E DISTRIBUIDORES DE VIDRIO, S.A.","['39', '40', '70', '76', '82', '90']"
CHINA MEHECO CORPORATION,"['5', '9', '11', '12', '13', '15', '17', '19', '21', '22', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '43', '44', '45', '48', '49', '50', '52', '54', '55', '56', '58', '59', '60', '61', '63', '64', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '87', '90', '91', '5', '9', '11', '12', '13', '15', '17', '19', '21', '22', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '43', '44', '45', '48', '49', '50', '52', '54', '55', '56', '58', '59', '60', '61', '63', '64', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '87', '90', '91']"
ITALTRADER S.R.L.,"['5', '11', '12', '13', '16', '19', '21', '22', '25', '28', '29', '30', '31', '32', '34', '35', '38', '39', '40', '41', '42', '43', '44', '45', '47', '48', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '94', '95', '96', '97']"
AMCO APPLICATION MODERNE DE LA CHIMIE ORGANIQUE ETABLISSEMENT,"['27', '28', '29', '30', '38', '73', '84', '85', '90']"
"PIÑOL SANJAUME, S.L.","['2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '30', '33', '34', '39', '40', '44', '45', '67', '68', '69', '70', '72', '73', '76', '82', '83', '84', '85', '87', '90', '94']"
EMILDUE S.R.L.,"['90', '94']"
GREENBELT HOLDINGS LTD.,"['25', '28', '29', '38', '39', '40', '42', '70', '71', '72', '73', '75', '76', '80', '81', '83', '84', '85', '86', '90', '25', '28', '29', '38', '39', '40', '42', '70', '71', '72', '73', '75', '76', '80', '81', '83', '84', '85', '86', '90']"
"LECIÑENA, S.A.",['87']
"PESCANOVA ESPAÑA, S.L.","['2', '3', '5', '6']"
"INDUSTRIAL MOLINERA E.X., S.A., DE C.V.","['2', '3', '4', '7', '8', '9', '10', '11', '13', '15', '16', '17', '18', '19', '20', '21', '22', '29', '38', '39', '40', '48', '61', '62', '63', '73', '74', '76', '82', '83', '84', '85', '87', '90', '94', '96']"
"IMPULSORA MARMUR, S.A., DE C.V.","['2', '3', '4', '5', '8', '11', '12', '13', '15', '16', '20', '22', '25', '30', '32', '33', '34', '38', '39', '40', '41', '42', '43', '48', '60', '61', '62', '64', '68', '69', '70', '71', '72', '73', '74', '75', '76', '81', '82', '83', '84', '85', '86', '87', '90', '91', '94', '95', '96']"
